id,overlapping,under_carbon,over_carbon,isolated
optimized_MOF_net-pto_node1-N83_node2-N57_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-nom_node1-N79_node2-orgN18_edge1-E7_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,TRUE
optimized_MOF_net-rtl_node1-N19_node2-orgN3_edge1-E9_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pry_node1-N28_node2-orgN3_edge1-E15_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N16_node2-orgN2_edge1-E0_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pth_node1-N10_node2-N41_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,TRUE
optimized_MOF_net-tsx_node1-N39_node2-orgN5_edge1-E15_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-ssa_node1-N57_node2-N24_edge1-E1_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-wbl_node1-N18_node2-orgN21_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-llk_node1-N27_node2-orgN23_edge1-E3_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-rtl_node1-N49_node2-orgN22_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N12_node2-orgN23_edge1-none_Chen_Manz_mofchecker,TRUE,TRUE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N36_node2-orgN23_edge1-E5_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N14_node2-orgN2_edge1-E8_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-ssa_node1-N24_node2-N41_edge1-E15_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N70_node2-orgN22_edge1-E3_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N66_node2-N20_edge1-E15_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N36_node2-orgN3_edge1-E7_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N13_node2-orgN3_edge1-E6_Chen_Manz_mofchecker,FALSE,TRUE,FALSE,FALSE
optimized_MOF_net-zzz_node1-N53_node2-orgN17_edge1-E10_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-iac_node1-N42_node2-N81_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-nom_node1-N78_node2-orgN19_edge1-E14_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
optimized_MOF_net-pyr_node1-N66_node2-N39_edge1-E5_Chen_Manz_mofchecker,FALSE,FALSE,FALSE,FALSE
